,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
50,Apartaments on Novyj Arbat 22,,7.9,21,True,29,"Улица Новый Арбат 22 кв 151, Арбат, Москва, Россия",2016,True
51,Apartamenty na Grokholskom Pereulke 10,,,,True,25,"Grokholskiy pereulok 10/5, Мещанский, Москва, Россия",2016,True
52,Apartamenty on Novoryazanskaya 2/7,,,,True,24,"Ulitsa Novoryazanskaya 2/7, Красносельский, Москва, Россия",2016,True
53,Апартамент на Кутузовском,,,,True,38,"4/2 Kutuzovskiy prospekt, Дорогомилово, Москва, Россия",2017,True
54,Apartment at Sukharevskaya,,8.9,18,True,51,"Pereulok Dokuchaev 2, Красносельский, Москва, Россия",2017,False
55,Апартамент на Тверской,,,,True,21,"Tverskaya ulitsa 6 1 , 3, Тверской, Москва, Россия",2017,True
56,Апартамент Орлово давыдовский,,,,True,27,"Orlovo-Davydovskiy pereulok, Мещанский, Москва, Россия",2017,True
57,Апартаменты Амели ,,8.7,176,True,76,"Улица Тверская 8, стр. 1, Тверской, Москва, Россия",2014,True
58,Апартаменты Бизнес На Фрунзенской,,,,True,27,"7 3-ya Frunzenskaya ulitsa, Хамовники, Москва, Россия",2017,False
59,Apartment El,,,,True,27,"13 Elninskaya ulitsa, Москва, Россия",2017,False
60,Апартаменты Юго западная 99,,,,True,15,"99 prospekt Vernadskogo, Москва, Россия",2017,False
61,апартаменты Коломенская,,,,True,34,"Klenovyy bulvar5, Москва, Россия",2017,False
62,Lakshmi Noviy Arbat Apartment,,8.1,35,True,28,"Ulitsa Noviy Arbat, 10, floor 11 , Арбат, Москва, Россия",2016,True
63,Апартаменты,,,,True,25,"5к1 ulitsa Bolshaya Cherkizovskaya, Москва, Россия",2017,False
64,апартаменты,,,,True,15,"22 Bratislavskaya ulitsa 5 этаж, Москва, Россия",2017,False
65,"Апартаменты на 2-й Красногвардейский проезд, 4",,,,True,20,"2-й Красногвардейский проезд, 4, Пресненский, Москва, Россия",2017,False
66,Apartamienty na Avtozavodskoi ulitsie,,7.7,9,True,46,"Ulitsa Avtozavodskaya 23k7, Даниловский, Москва, Россия",2017,False
67,Apartamienty na Azovskoi 9k2,,,,True,23,"9k2 Azovskaya ulitsa, Москва, Россия",2017,False
68,Apartment on Azovskaya,,,,True,35,"Ulitsa Azovskaya 24,Bldg. 2, Москва, Россия",2017,False
69,Апартаменты на Баумской,,9.7,6,True,22,"Volkhovskiy pereulok, Басманный, Москва, Россия",2017,False
70,Апартаменты DailyRooms у Белорусского вокзала,,9.1,17,True,62,"Грузинский Переулок 14 , Пресненский, Москва, Россия",2016,True
71,Apartment on Bochvara 7,,,,True,37,"ulitsa Akademika Bochvara 7, Щукино, Москва, Россия",2017,False
72,Апартаменты на Большой Дмитровке,,8.6,9,True,45,"Большая Дмитровка 22, Тверской, Москва, Россия",2014,True
73,Апартаменты на Бронной,,9.2,380,True,90,"Бронная Улица 21/13 - 38, Пресненский, Москва, Россия",2014,True
74,Апартаменты на Чаплыгина,,8.9,38,True,49,"улица Чаплыгина, д. 1/12 этаж 2, Басманный, Москва, Россия",2016,True
75,Апартаменты на Филевском парке,,,,True,31,"Минская улица 7, Москва, Россия",2014,False
76,Апартаменты на Яузской,,,,True,32,"6/8 Yauzskaya ulitsa, Таганский, Москва, Россия",2017,False
77,Apartment on Ierusalimskiy proyezd,,,,True,31,"Ierusalimskiy proyezd 4, Таганский, Москва, Россия",2017,False
78,Apartment na Kutuzovskom prospekte 2/1,,,,True,28,"Kutuzovskii prospiekt 2/1, Дорогомилово, Москва, Россия",2017,True
79,Апартаменты на Ленинском,,,,True,25,"Leninskiy prospekt, Москва, Россия",2017,False
80,"Апартаменты на Левобережной, 4к11-2",,,,True,43,"Левобережная улица, 4к11, Москва, Россия",2017,False
81,"Апартаменты на Левобережной, 4к11",,,,True,32,"Левобережная улица, 4к11, Москва, Россия",2017,False
82,"Апартаменты на Миклухо-Маклая, 57к2",,,,True,30,"ул. Миклухо-Маклая, 57к2, Москва, Россия",2017,False
83,Апартаменты на Охотном,,9.4,43,True,27,"Газетный переулок дом 13, Тверской, Москва, Россия",2016,True
84,Апартаменты на Окской,,,,True,35,"12 Okskaya ulitsa, Кузьминки, Москва, Россия",2017,False
85,Apartamenty na Presnenskom valu,,10.0,5,True,36,"Пресненский вал д.8 к.3, Пресненский, Москва, Россия",2017,True
86,Apartment on Profsoyuznaya 97,,,,True,20,"Profsoyuznaya  97, Москва, Россия",2017,False
87,"Апартаменты на Профсоюзной улице, 136к1",,,,True,20,"Профсоюзная улица, 136к1, Москва, Россия",2017,False
88,Апартаменты на Пролетарской для 6 гостей,,,,True,25,"4 2-ya Dubrovskaya ulitsa, Таганский, Москва, Россия",2017,False
89,Лидер НОРД апартаменты на Славянском Бульваре,,8.0,23,True,34,"Кутузовский Проспект 67 строение 1, Москва, Россия",2014,False
90,Апартаменты на Строгинском бульваре,,9.3,13,True,33,"Строгинский бульвар 26к2, Строгино, Москва, Россия",2016,False
91,Апартаменты на Таганской,,,,True,36,"13 Narodnaya ulitsa  ap.80, Таганский, Москва, Россия",2017,False
92,Апартаменты на Таганской,,,,True,20,"марксистсая 1 корпус 1, Таганский, Москва, Россия",2017,False
93,Apartment on Tverskaya,,9.1,5,True,43,"Ulitsa Tverskaya 30/2 с 1 2, Тверской, Москва, Россия",2017,True
94,Апартаменты на Тверской,,,,True,41,"17 Tverskaya ulitsa 5, Тверской, Москва, Россия",2017,True
95,Апартаменты на Тверской ,,7.7,10,True,60,"Улица Тверская дом 8 строение 1, Тверской, Москва, Россия",2014,True
96,"Апартаменты на улице Панфёрова, 10",,,,True,25,"улица Панфёрова, 10, Москва, Россия",2017,False
97,Апартаменты Новослободская,,,,True,49,"16 ulitsa Chayanova этаж 2, квартира 7, Тверской, Москва, Россия",2017,False
98,апартаменты Старый Арбат,,9.3,475,True,121,"Район Старого Арбата, Арбат, Москва, Россия",2014,True
99,"Апартаменты ""На Тверской""",,,,True,25,"15 Tverskaya ulitsa 7, Тверской, Москва, Россия",2017,True
100,Апартаменты рядом с парком Царицыно,,,,True,41,"Shipilovskaya ulitsa, Москва, Россия",2017,False
